"135,00+ Flights","135,00+ Flüge"
A confirmation email has been sent to your provided email address.,Eine Bestätigungsmail wurde an Ihre angegebene E-Mail-Adresse gesendet.
About,Etwa
About Delta Airlines,Über Delta Airlines
About Flights.com,Über Flights.com
About You,Über dich
Account Activation,Account Aktivierung
Account Settings,Account Einstellungen
Activation Email,Die Aktivierung per E-Mail
Activation failed.,Aktivierung fehlgeschlagen.
Add Airline,In Airline
Add Airport,In Flughafen
Add Airports,In Flughäfen
Add Amenity,In der Ausstattung
Add another person,Fügen Sie eine weitere Person
Add Category,Kategorie hinzufügen
Add Destination,Ziel hinzufügen
Add Feature,Schreibe Feature
Add Flight,In Flight
Add Hotel,Hotel hinzufügen
Add Inflight Feature,In Inflight Eigenschaft
Add Package,Paket hinzufügen
Add Sites,Sites hinzufügen
Add Translation,In Translation
Add User,Benutzer hinzufügen
Address,Adresse
Adult Price,Erwachsene Preis
Adults,Erwachsene
Airline,Fluggesellschaft
Airlines,Fluggesellschaften
Airports,Flughäfen
All flights in the system,Alle Flüge im System
All hotels in the system,Alle Hotels im System
Already a Flights.com member? ,Bereits ein Flights.com Mitglied?
Amazing Places,Beeindruckende Plätze
Amount,Menge
anytime,jederzeit
Are you sure you want to deletе this item?,"Sind Sie sicher, dass Sie diesen Artikel deletе?"
Are you sure?,Bist du sicher?
Arrival,Ankunft
Arrive At,Ankommen bei
Arriving On,Ankunft am
Author,Autor
Available,Erhältlich
Available Features,Verfügbare Funktionen
AVG/PERSON,AVG / PERSON
Baggage,Gepäck
Base fare,Grundfahrpreis
Basic Information,Grundinformation
Before you Fly,Bevor Sie fliegen
Best Price Guarantee,Best Preis Garantie
Best value for frequent travelers,Bester Wert für Vielreisende
BOOK,BUCH
book flight now,Flug buchen jetzt
Book your Bags in Advance,Buchen Sie Ihre Taschen im Voraus
booked on,gebucht auf
Booking,Buchung
Booking #,Buchung #
Booking Confirmation,Buchungsbestätigung
Booking Details,Buchungsdetails
Booking number,Buchungsnummer
Bookings,Buchungen
Both emails not match,Beide E-Mails nicht überein
Both passwords not match,Beide Passwörter nicht überein
"By continuing, you agree to the Terms and Conditions.","Fortfahren, stimmen Sie zu den Allgemeinen Geschäftsbedingungen."
"By signing up, I agree to Flights.com Terms of Service, Privacy Policy, Guest Refund Policy, and Host Guarantee Terms.","Wenn Sie sich, ich stimme Nutzungsbedingungen zu Flights.com, Datenschutz, Gast Rückerstattung-Politik, und Host-Garantiebestimmungen."
Cancel,Stornieren
Cancel Price,Abbrechen Preis
Cancellation,Stornierung
CANCELLED,ABGEBROCHEN
Capacity,Kapazität
Card holder name,Name des Karteninhabers
Card identification number,Karten-Identifikationsnummer
Card number,Kartennummer
Change,Veränderung
Change Your Password,Ändern Sie Ihr Passwort
Cheap Flights,Billigflüge
Check your Flight Status,Überprüfen Sie Ihren Flugstatus
City,Stadt
"city, distirct or specific airpot","Stadt, distirct oder spezifische airpot"
"city, district, or specific airpot","Stadt, Kreis oder spezifische airpot"
Client,Klient
Comment,Kommentar
Comments,Bemerkungen
Comments posted by users,Kommentare von Nutzern
Confirm,Bestätigen
Confirm email address,E-Mail-Adresse bestätigen
Confirm New password,Neues Passwort bestätigen
confirm password,Bestätige das Passwort
Contact Details,Kontakt details
Country,Land
Coverage for non-award,Coverage für Nicht-Vergabe
Credit Card Type,Kreditkartentyp
Customer Care,Kundendienst
Database with international airports,Datenbank mit internationalen Flughäfen
Delete Item,Element löschen
Depart From,Abfahrt von
Departing On,abfliegen
Departure,Abreise
Departure on,Abreise am
Describe Yourself,Beschreibe dich selbst
Description,Beschreibung
Destinations,Reiseziele
Details,Einzelheiten
Discover,Entdecken
Don't have an account? ,Sie haben noch kein Konto?
Duration,Dauer
Edit,Bearbeiten
EDIT PROFILE,PROFIL BEARBEITEN
Email Activation,E-Mail-Aktivierung
email address,E-Mail-Addresse
Email confirmation,Email Bestätigung
Enter New Password,Neues Passwort eingeben
Excellent Support,Hervorragende Unterstützung
Existing flight destinations,Bestehende Flugziele
Existing flight' routes,Bestehende Flug 'Routen
Existing flight's routes,Bestehende Flugrouten
Existing hotel packages,Bestehende Hotelpakete
Expiration Date,Haltbarkeitsdatum
Expire Date,Ablaufdatum
Fare Rules,Tarifbestimmungen
Fare Rules for your Flight,Tarifbestimmungen für Ihren Flug
Fare type,Tarifart
Feature Symbol,Feature-Symbol
Featured Flight Deals,Beliebte Flugangebote
Features,Eigenschaften
Features Style 01,Eigenschaften Design 01
File '%value%' was not uploaded,Die Datei '% value%' wurde nicht hochgeladen
first name,Vorname
Firstname,Vorname
Flight #,Flight #
Flight Booking,Flug buchen
Flight CHange,Flug umbuchen
Flight Detailed,Flight Detail
Flight Details,Flugdaten
Flight Duration,Flugdauer
Flight Search Results,Flugsuchergebnisse
Flight Stops,Flug Stops
Flight Times,Flugzeiten
Flight Type,Flugtyp
Flight#,Flug#
Flights,Flüge
Flights.com | Administration,Flights.com | Verwaltung
Flights.com | Login,Flights.com | Anmeldung
Forgot password?,Passwort vergessen?
From,Von
Fullname,Vollständiger Name
Get Travel Insurance,Holen Reiseversicherung
Going To,Gehen
H,H
Home,Zuhause
Hotel,Hotel
Hotel Search,Hotelsuche
Hotel Type,Hoteltyp
Hotels,Hotels
hour,Stunde
Hours,Std
IATA,IATA
ICAO,ICAO
Image,Image
Infant Price,Infant Preis
Infants,Kleinkinder
Inflight Experience,Inflight Experience
Inflight Features,Inflight Eigenschaften
Invalid username or password,ungültiger Benutzername oder Passwort
Kids,Kids
landing,Landung
Language,Sprache
last name,"Familienname, Nachname"
Last Reservations,Letzte Reservierungen
Lastname,"Familienname, Nachname"
Latest Comments,neueste Kommentare
Latest Sites,Neueste Seiten
Latitude,Breite
Layover ,Zwischenstopp
Leaving From,Abreisen von
Let's Discover the world together!,Lassen Sie uns gemeinsam die Welt entdecken!
Link is invalid or activation code has been expired,Link ist ungültig oder der Aktivierungscode ist abgelaufen
Locale,Schauplatz
Location,Ort
logging in...,Einloggen...
Login,Anmeldung
Logo,Logo
Logout,Ausloggen
Longitude,Länge
Low Rates &amp; Savings,Niedrige Preise & amp; Ersparnisse
m,m
Mailing List,Mailingliste
MAKE BOOKING,um zu buchen
Max Price,Max Preis
Mins,mins
minutes,Protokoll
Modify Search,Suche ändern
"More than 13,000 Places",Mehr als 13.000 Orte
morning,Morgen
Multi-Trip (Annual) Plans,Multi-Trip (Annual) Pläne
MY ACCOUNT,MEIN KONTO
Name,Name
Need Flights Help?,Brauchen Flüge Hilfe?
New Packages,Neue Pakete
No translation for the language 'bg' available.,Keine Übersetzung für die Sprache 'bg' zur Verfügung.
No translation for the language 'en' available.,Keine Übersetzung für die Sprache 'de' zur Verfügung.
Nunc cursus libero pur congue arut nimspnty.,Nunc cursus libero pur congue Arut nimspnty.
Nunc cursus libero purus ac congue ar lorem cursus ut sed pulvinar massa iden porta nequetiam elerisque mi id habitant morbi tristique senectus.,Nunc cursus libero purus ac congue ar Lorem cursus ut sed pulvinar massa iden porta nequetiam elerisque mi id habitant morbi Tristique senectus.
Nunc cursus libero purus ac congue arcu cursus ut sed vitae pulvinar massaidp nequetiam lore elerisque.,Nunc cursus libero purus ac congue arcu cursus ut sed vitae pulvinar massaidp nequetiam Lore elerisque.
Old Password,Altes Passwort
oneway,Einweg
Oneway flight,oneway Flug
Other Details,Andere Details
Over 500 Airlines,Über 500 Airlines
Package,Paket
Packages,Pakete
Passenger,Passagier
Passport,Reisepass
Passport / ID expiration date,Pass / ID Verfallsdatum
Passport /ID Number,Pass / ID-Nummer
Password,Passwort
Password again,Passwort erneut
Payment,Zahlung
Payment Info,Zahlungsinformationen
Payment is made by Credit Card Via Paypal.,Die Bezahlung erfolgt per Kreditkarte über Paypal.
person,Person
Personal Details,Persönliche Details
Photo,Foto
Please authorize yourself to continue,Bitte genehmigen Sie sich fortsetzen
Please confirm your email address by clicking the link below.,"Bitte bestätigen Sie Ihre E-Mail-Adresse, indem Sie den folgenden Link klicken."
Please enter email again,Bitte geben Sie E-Mail wieder
Please enter password again,Bitte geben Sie das Kennwort erneut ein
Please enter your username and password,Bitte gib deinen Benutzernamen und dein Passwort ein
Please provide airline name,Bitte geben Sie den Namen der Fluggesellschaft
Please provide airport name,Bitte geben Sie den Flughafennamen
Please provide city,Bitte geben Sie Stadt
Please provide country,Bitte geben Sie Land
Please provide email,Bitte geben Sie E-Mail
Please provide feature symbol,Bitte geben Sie Feature Symbol
Please provide first name,Bitte geben Sie Vorname
Please provide firstname,Bitte geben Sie Vorname
Please provide fullname,Bitte geben Sie Fullname
Please provide iata code,Bitte geben IATA-Code
Please provide icao code,Bitte geben Sie ICAO-Code
Please provide last name,Bitte geben Sie Nachname
Please provide lastname,Bitte geben Sie Nachname
Please provide password,Bitte geben Sie das Passwort
Please provide username,Bitte geben Sie Benutzername
Please provide valid email,Bitte geben Sie gültige E-Mail
Please provide valid login,Bitte geben Sie gültige Login
please tell us about you,Bitte teilen Sie uns über Sie
"Praesent dolor lectus, rutrum sit amet risus vitae, imperdiet cursus neque. Nulla tempor nec lorem eu suscipit. Donec dignissim lectus a nunc molestie consectetur. Nulla eu urna in nisi adipiscing placerat.","Nullam dolor lectus, rutrum sit amet risus vitae, imperdiet cursus neque. Nulla tempor ang Lorem eu suscipit. Donec dignissim lectus ein nunc molestie consectetur. Nulla eu urna in nisi adipiscing placerat."
Price,Preis
Price Per Passanger,Preis pro Passagier
Profile,Profil
Refundable,rückzahlbar
Registered Hotels,Registrierte Hotels
Remove,Entfernen
Remove Passanger,entfernen Passanger
Remove Translation,entfernen Übersetzung
Rental Car Damage Protector,Mietwagen Schaden-Schutz
Reservations,Reservierungen
Reservations received,Reservierungen erhalten
results found.,Ergebnisse.
Role,Rolle
Save,sparen
Search,Suche
search again,erneut suchen
Search Results,Suchergebnisse
Seat Selection,Sitzplatzauswahl
Seats,Sitze
Seats &amp; Baggage,Sitze & amp; Gepäck
Select,Wählen
SELECT NOW,Wählen Sie jetzt
Select your Seats,Wählen Sie Ihre Sitze
SERACH NOW,serach JETZT
Settings,Einstellungen
Sign up,Anmelden
Sign up for our mailing list to get latest updates and offers.,"Melden Sie sich für unsere Mailing-Liste ein, um neueste Updates und Angebote."
SIGNUP,ANMELDEN
Signup Complete,Jetzt Anmelden Vollständige
Single Trip Plans,Einzelreisepläne
Sites,Standorte
Sort results by,Sortiere Ergebnisse nach
Special Meal Requests,Spezielle Essenswünsche
Status,Status
STOP,HALT
Stops,Stoppt
street,Straße
Symbol,Symbol
Take off,"Ausziehen, starten, abheben, losfahren"
Taxes,Steuern
Taxes &amp; Fees,Steuern & amp; Gebühren
Thank You,Danke
Thank You. Email confirmation sent.,Danke. E-Mail-Bestätigung gesendet.
Thank You. Your account has been activated.,Danke. Dein Konto wurde aktiviert.
Thank You. Your Booking Order is Confirmed Now.,Danke. Ihre Buchungsauftrag ist nun bestätigt.
Thank You. Your email has been activated.,Danke. Ihre E-Mail wurde aktiviert.
"The number of bags, the charges and allowable dimensions may vary depending on your flight, the fare and the class in which you are travelling.","Die Anzahl der Säcke, die Gebühren und die zulässigen Abmessungen können Sie auf dem Flug, den Tarif und die Klasse variieren je, in dem Sie unterwegs sind."
"The number of bags, the charges and allowable dimensions may vary depending on your flight, the fare and the class in which you are travelling. That is why we advise you to check the specific baggage information before every flight.","Die Anzahl der Säcke, die Gebühren und die zulässigen Abmessungen können Sie auf dem Flug, den Tarif und die Klasse variieren je, in dem Sie unterwegs sind. Deshalb beraten wir Sie vor jedem Flug die spezifische Informationen zum Gepäck zu überprüfen."
"There are many factors that can affect a flight while it's in the air. Weather, air traffic control directives, congestion on the taxi-ways and more.","Es gibt viele Faktoren, die einen Flug, während es in der Luft beeinflussen kann. Wetter, Flugsicherung Richtlinien, Staus auf den Taxi-Möglichkeiten und vieles mehr."
This field is required.,Dieses Feld wird benötigt.
To,Nach
Top Flight Routes,Top Flugrouten
total price,Gesamtpreis
total time,Gesamtzeit
Town / City,Ort / Stadt
Translation,Übersetzung
Translations,Übersetzungen
Travel Insurance,Reiseversicherung
Travel News,Reise-News
Traveler Information,Reiseinformation
TRIP ID,TRIP-ID
Trip Protector,Reise-Schutz
Trips You have Booked!,Reisen Sie haben gebucht!
UPCOMING,BEVORSTEHENDE
UPDATE PASSWORD,UPDATE PASSWORT
UPDATE SETTINGS,UPDATE EINSTELLUNGEN
Upload Profile Photo,Profil-Foto hochladen
user name,Benutzername
Username,Benutzername
username/email address,Benutzername / E-Mail-Adresse
Users,Benutzer
Verify Email Address,Email Adresse bestätigen
View Airlines,Ansicht Airlines
View Airports,anzeigen Flughäfen
View Amenities,View Annehmlichkeiten
View Bookings,Ansicht Buchungen
View Categories,Ansicht Kategorien
View Destinations,Ansicht Reiseziele
View Flights,Flug-
View Hotels,View Hotels
View Inflight Features,Ansicht Inflight Eigenschaften
View Packages,Ansicht Pakete
View Reservations,Reservierungen anzeigen
View Sites,Sites anzeigen
View Users,Benutzer anzeigen
We may need to send you critical information about our service and it is important that we have an accurate email address.,"Wir brauchen Sie möglicherweise wichtige Informationen über unseren Service zu senden, und es ist wichtig, dass wir eine genaue E-Mail-Adresse haben."
We respect your privacy,Wir respektieren Ihre Privatsphäre
We would be more than happy to help you. Our team advisor are 24/7 at your service to help you.,"Wir würden uns mehr als glücklich, Ihnen zu helfen. Unser Team Berater sind 24/7 für Sie da, Ihnen zu helfen."
When,Wann
Where,Woher
Whether you would like a meal for your little ones or a special meal to meet your dietary requirements we will do our best to supply your preferred choice.,"Egal, ob Sie eine Mahlzeit für die Kleinen oder eine besondere Mahlzeit möchten Ihre diätetischen Anforderungen erfüllen, werden wir unser Bestes tun, um Ihre bevorzugte Wahl zu liefern."
Who,Wer
Why Book with us?,Warum bei uns buchen?
you are flying,Sie fliegen
You can use your account now.,Sie können nun Ihr Konto verwenden.
Your Card Information,Ihre Karteninformationen
Your Personal Information,Ihre persönliche Information
zip,Reißverschluss
ZIP code,Postleitzahl